Frequency (Hz)	Level (dB)
5.859375	-94.723518
11.718750	-93.596596
17.578125	-93.879532
23.437500	-104.849022
29.296875	-93.339775
35.156250	-49.436626
41.015625	-20.661541
46.875000	-6.369607
52.734375	-0.333236
58.593750	-1.085042
64.453125	-8.785958
70.312500	-25.463882
76.171875	-60.651424
82.031250	-92.706978
87.890625	-99.170799
93.750000	-93.175575
99.609375	-93.531815
105.468750	-95.176857
111.328125	-97.098793
117.187500	-98.993744
123.046875	-100.718391
128.906250	-102.764648
134.765625	-107.975357
140.625000	-107.065056
146.484375	-50.296616
152.343750	-26.068584
158.203125	-13.908068
164.062500	-9.468180
169.921875	-11.731181
175.781250	-21.189590
181.640625	-40.608379
187.500000	-87.108116
193.359375	-110.425827
199.218750	-110.978455
205.078125	-108.264000
210.937500	-108.829201
216.796875	-110.674713
222.656250	-112.109879
228.515625	-113.908867
234.375000	-114.575233
240.234375	-115.856010
246.093750	-114.939720
251.953125	-104.207596
257.812500	-47.629910
263.671875	-26.945166
269.531250	-16.729013
275.390625	-13.837932
281.250000	-17.635363
287.109375	-28.975611
292.968750	-51.652290
298.828125	-110.916481
304.687500	-116.368103
310.546875	-114.113396
316.406250	-113.132767
322.265625	-112.574097
328.125000	-111.846062
333.984375	-110.778107
339.843750	-109.800255
345.703125	-109.405769
351.562500	-112.535538
357.421875	-112.413521
363.281250	-83.380028
369.140625	-44.573547
375.000000	-26.816761
380.859375	-18.405146
386.718750	-17.032822
392.578125	-22.404882
398.437500	-35.792530
404.296875	-62.539440
410.156250	-113.028854
416.015625	-117.083748
421.875000	-110.928337
427.734375	-110.334770
433.593750	-110.512993
439.453125	-110.500298
445.312500	-109.935913
451.171875	-109.374954
457.031250	-109.515717
462.890625	-115.154137
468.750000	-112.853645
474.609375	-72.731407
480.468750	-41.649460
486.328125	-26.409849
492.187500	-19.697754
498.046875	-19.830284
503.906250	-26.836210
509.765625	-42.494797
515.625000	-74.735786
521.484375	-109.647118
527.343750	-120.278091
533.203125	-112.842514
539.062500	-112.686134
544.921875	-114.274559
550.781250	-115.376419
556.640625	-116.182823
562.500000	-116.567673
568.359375	-117.446770
574.218750	-121.916199
580.078125	-120.131302
585.937500	-64.954483
591.796875	-38.999706
597.656250	-25.987911
603.515625	-20.897371
609.375000	-22.536314
615.234375	-31.257755
621.093750	-49.497837
626.953125	-90.139153
632.812500	-119.021271
638.671875	-116.147743
644.531250	-113.652855
650.390625	-113.882126
656.250000	-115.261581
662.109375	-116.443527
667.968750	-117.461365
673.828125	-118.753700
679.687500	-119.217041
685.546875	-120.382904
691.406250	-119.789307
697.265625	-58.722992
703.125000	-36.668278
708.984375	-25.670916
714.843750	-22.146637
720.703125	-25.308422
726.562500	-35.856262
732.421875	-57.115051
738.281250	-119.211197
744.140625	-121.383087
750.000000	-121.745850
755.859375	-121.042931
761.718750	-120.730942
767.578125	-119.422089
773.437500	-119.534477
779.296875	-117.571625
785.156250	-117.991531
791.015625	-119.247131
796.875000	-121.833534
802.734375	-97.188934
808.593750	-53.567001
814.453125	-34.662498
820.312500	-25.522423
826.171875	-23.527260
832.031250	-28.244976
837.890625	-40.766094
843.750000	-65.713280
849.609375	-124.868256
855.468750	-124.308533
861.328125	-120.630287
867.187500	-120.037956
873.046875	-119.109802
878.906250	-119.967766
884.765625	-118.295815
890.625000	-117.543556
896.484375	-117.480354
902.343750	-122.525528
908.203125	-115.438980
914.062500	-83.068832
919.921875	-49.214458
925.781250	-32.980438
931.640625	-25.579172
937.500000	-25.092876
943.359375	-31.417307
949.218750	-46.109791
955.078125	-75.829300
960.937500	-118.094193
966.796875	-122.535927
972.656250	-115.916008
978.515625	-115.806778
984.375000	-116.281677
990.234375	-117.251274
996.093750	-117.656731
1001.953125	-117.018837
1007.812500	-118.382118
1013.671875	-123.343880
1019.531250	-119.252045
1025.390625	-73.391396
1031.250000	-45.515106
1037.109375	-31.615614
1042.968750	-25.865244
1048.828125	-26.882774
1054.687500	-34.886204
1060.546875	-52.018826
1066.406250	-88.652054
1072.265625	-119.310570
1078.125000	-120.784088
1083.984375	-117.957687
1089.843750	-117.885094
1095.703125	-119.052162
1101.562500	-119.912041
1107.421875	-121.836655
1113.281250	-120.771347
1119.140625	-123.679810
1125.000000	-124.564705
1130.859375	-122.804169
1136.718750	-65.912704
1142.578125	-42.366787
1148.437500	-30.561562
1154.296875	-26.397907
1160.156250	-28.929565
1166.015625	-38.709988
1171.875000	-58.660385
1177.734375	-108.509773
1183.593750	-125.176743
1189.453125	-126.213135
1195.312500	-124.159882
1201.171875	-124.653450
1207.031250	-125.935226
1212.890625	-124.883179
1218.750000	-125.508774
1224.609375	-124.948364
1230.468750	-126.529907
1236.328125	-125.871078
1242.187500	-110.818588
1248.046875	-59.832478
1253.906250	-39.701283
1259.765625	-29.812687
1265.625000	-27.191305
1271.484375	-31.263222
1277.343750	-42.951340
1283.203125	-66.277222
1289.062500	-124.046150
1294.921875	-127.005646
1300.781250	-125.495010
1306.640625	-123.788124
1312.500000	-124.127052
1318.359375	-122.866737
1324.218750	-121.886841
1330.078125	-121.196785
1335.937500	-120.116928
1341.796875	-124.579384
1347.656250	-121.284485
1353.515625	-91.931435
1359.375000	-54.756329
1365.234375	-37.469807
1371.093750	-29.364740
1376.953125	-28.258596
1382.812500	-33.914032
1388.671875	-47.684574
1394.531250	-75.268158
1400.390625	-123.657402
1406.250000	-127.000534
1412.109375	-121.153412
1417.968750	-120.268646
1423.828125	-120.706970
1429.687500	-121.623749
1435.546875	-120.240585
1441.406250	-120.959496
1447.265625	-120.233101
1453.125000	-127.307327
1458.984375	-120.622719
1464.843750	-80.528442
1470.703125	-50.463554
1476.562500	-35.636326
1482.421875	-29.215258
1488.281250	-29.613178
1494.140625	-36.915035
1500.000000	-53.004230
1505.859375	-86.408829
1511.718750	-120.746277
1517.578125	-125.107826
1523.437500	-119.977066
1529.296875	-120.371834
1535.156250	-121.566109
1541.015625	-121.365265
1546.875000	-123.760040
1552.734375	-122.333397
1558.593750	-124.715759
1564.453125	-127.145912
1570.312500	-128.559769
1576.171875	-72.006958
1582.031250	-46.817375
1587.890625	-34.174400
1593.750000	-29.363811
1599.609375	-31.269762
1605.468750	-40.304649
1611.328125	-59.039520
1617.187500	-101.915588
1623.046875	-126.366211
1628.906250	-126.767075
1634.765625	-123.895012
1640.625000	-124.462547
1646.484375	-126.187744
1652.343750	-126.359283
1658.203125	-128.379456
1664.062500	-128.336090
1669.921875	-128.947342
1675.781250	-129.291580
1681.640625	-129.058624
1687.500000	-65.178421
1693.359375	-43.723602
1699.218750	-33.064117
1705.078125	-29.811876
1710.937500	-33.245354
1716.796875	-44.129543
1722.656250	-65.981857
1728.515625	-131.486938
1734.375000	-129.874863
1740.234375	-129.991196
1746.093750	-130.355637
1751.953125	-128.050827
1757.812500	-128.466949
1763.671875	-126.840172
1769.531250	-124.816154
1775.390625	-126.003967
1781.250000	-127.286064
1787.109375	-125.112709
1792.968750	-100.979797
1798.828125	-59.518997
1804.687500	-41.116684
1810.546875	-32.290970
1816.406250	-30.563164
1822.265625	-35.560074
1828.125000	-48.448540
1833.984375	-74.139168
1839.843750	-135.406357
1845.703125	-130.755386
1851.562500	-125.167557
1857.421875	-124.130379
1863.281250	-124.923103
1869.140625	-124.539169
1875.000000	-125.257431
1880.859375	-123.381363
1886.718750	-124.398033
1892.578125	-129.432770
1898.437500	-121.629456
1904.296875	-87.391190
1910.156250	-54.750202
1916.015625	-38.949181
1921.875000	-31.844818
1927.734375	-31.623861
1933.593750	-38.238659
1939.453125	-53.340038
1945.312500	-84.066177
1951.171875	-123.567078
1957.031250	-126.735229
1962.890625	-120.994293
1968.750000	-121.836586
1974.609375	-121.348190
1980.468750	-122.284660
1986.328125	-122.832817
1992.187500	-121.597755
1998.046875	-123.822044
2003.906250	-127.608238
2009.765625	-128.624527
2015.625000	-77.706131
2021.484375	-50.700253
2027.343750	-37.185295
2033.203125	-31.719160
2039.062500	-33.002598
2044.921875	-41.311893
2050.781250	-58.908966
2056.640625	-97.241684
2062.500000	-123.329193
2068.359375	-129.377045
2074.218750	-127.470589
2080.078125	-126.161385
2085.937500	-128.819870
2091.796875	-129.645523
2097.656250	-129.286667
2103.515625	-132.032883
2109.375000	-130.961624
2115.234375	-135.995087
2121.093750	-128.566025
2126.953125	-70.146042
2132.812500	-47.254868
2138.671875	-35.799294
2144.531250	-31.910492
2150.390625	-34.711609
2156.250000	-44.818092
2162.109375	-65.317101
2167.968750	-119.241852
2173.828125	-133.072067
2179.687500	-131.541611
2185.546875	-131.003067
2191.406250	-131.900177
2197.265625	-131.396088
2203.125000	-132.704102
2208.984375	-130.110245
2214.843750	-131.516464
2220.703125	-130.673996
2226.562500	-131.026291
2232.421875	-111.826218
2238.281250	-63.930588
2244.140625	-44.336571
2250.000000	-34.771088
2255.859375	-32.418655
2261.718750	-36.766243
2267.578125	-48.807777
2273.437500	-72.803268
2279.296875	-128.433975
2285.156250	-129.593124
2291.015625	-128.110245
2296.875000	-126.012901
2302.734375	-125.709831
2308.593750	-126.416878
2314.453125	-124.181511
2320.312500	-124.195305
2326.171875	-123.417381
2332.031250	-128.046738
2337.890625	-126.490837
2343.750000	-94.327415
2349.609375	-58.717083
2355.468750	-41.887962
2361.328125	-34.086651
2367.187500	-33.246227
2373.046875	-39.187145
2378.906250	-53.347115
2384.765625	-81.826416
2390.625000	-125.498779
2396.484375	-130.323563
2402.343750	-126.081223
2408.203125	-124.950638
2414.062500	-126.368874
2419.921875	-124.485001
2425.781250	-124.876312
2431.640625	-123.895447
2437.500000	-123.850533
2443.359375	-132.093430
2449.218750	-129.089157
2455.078125	-83.368797
2460.937500	-54.293179
2466.796875	-39.867889
2472.656250	-33.735821
2478.515625	-34.399017
2484.375000	-41.999882
2490.234375	-58.528305
2496.093750	-93.319702
2501.953125	-124.790817
2507.812500	-133.274918
2513.671875	-127.248680
2519.531250	-127.722267
2525.390625	-128.258774
2531.250000	-131.881012
2537.109375	-129.614243
2542.968750	-133.759094
2548.828125	-129.694412
2554.687500	-133.311722
2560.546875	-133.721222
2566.406250	-74.993774
