Frequency (Hz)	Level (dB)
5.859375	-105.610580
11.718750	-99.465759
17.578125	-101.303108
23.437500	-106.298462
29.296875	-105.581078
35.156250	-61.036922
41.015625	-32.260860
46.875000	-17.968700
52.734375	-11.932308
58.593750	-12.684099
64.453125	-20.384993
70.312500	-37.062466
76.171875	-72.231712
82.031250	-102.860062
87.890625	-96.065666
93.750000	-73.024483
99.609375	-54.660954
105.468750	-45.735359
111.328125	-43.921860
117.187500	-48.822765
123.046875	-61.584805
128.906250	-85.920387
134.765625	-100.135414
140.625000	-115.872223
146.484375	-62.952511
152.343750	-38.713959
158.203125	-26.552937
164.062500	-22.112953
169.921875	-24.375927
175.781250	-33.834053
181.640625	-53.249611
187.500000	-99.212135
193.359375	-104.821365
199.218750	-93.624168
205.078125	-77.525108
210.937500	-61.987541
216.796875	-54.804695
222.656250	-54.499073
228.515625	-61.013397
234.375000	-75.846481
240.234375	-93.366821
246.093750	-103.435112
251.953125	-112.822182
257.812500	-59.848980
263.671875	-39.156147
269.531250	-28.939518
275.390625	-26.048313
281.250000	-29.845701
287.109375	-41.185108
292.968750	-63.852280
298.828125	-114.706184
304.687500	-101.630760
310.546875	-91.850739
316.406250	-75.806549
322.265625	-62.462410
328.125000	-56.921116
333.984375	-58.118908
339.843750	-66.316177
345.703125	-83.003975
351.562500	-95.163040
357.421875	-107.336945
363.281250	-95.929688
369.140625	-56.884808
375.000000	-39.123219
380.859375	-30.711037
386.718750	-29.338665
392.578125	-34.710510
398.437500	-48.096661
404.296875	-74.810097
410.156250	-113.663345
416.015625	-99.040253
421.875000	-90.253151
427.734375	-74.439240
433.593750	-63.074886
439.453125	-59.110382
445.312500	-61.822723
451.171875	-71.781425
457.031250	-88.817886
462.890625	-97.279305
468.750000	-112.118073
474.609375	-85.343018
480.468750	-54.160999
486.328125	-38.917721
492.187500	-32.205143
498.046875	-32.337605
503.906250	-39.343132
509.765625	-54.998268
515.625000	-87.107887
521.484375	-110.129189
527.343750	-96.735855
533.203125	-88.561646
539.062500	-73.215393
544.921875	-63.686134
550.781250	-61.257793
556.640625	-65.511047
562.500000	-77.286232
568.359375	-92.023804
574.218750	-100.034340
580.078125	-116.398575
585.937500	-77.768852
591.796875	-51.774292
597.656250	-38.759346
603.515625	-33.668587
609.375000	-35.307327
615.234375	-44.028248
621.093750	-62.258953
626.953125	-102.172401
632.812500	-106.901024
638.671875	-95.015167
644.531250	-86.640007
650.390625	-72.173729
656.250000	-64.375092
662.109375	-63.453960
667.968750	-69.292747
673.828125	-82.737396
679.687500	-93.915367
685.546875	-103.169853
691.406250	-116.094940
697.265625	-71.832291
703.125000	-49.751225
708.984375	-38.751945
714.843750	-35.227375
720.703125	-38.389008
726.562500	-48.935474
732.421875	-70.177834
738.281250	-115.922188
744.140625	-103.659729
750.000000	-93.760735
755.859375	-84.461922
761.718750	-71.284409
767.578125	-65.131935
773.437500	-65.709137
779.296875	-73.186058
785.156250	-87.629128
791.015625	-95.802010
796.875000	-107.154106
802.734375	-109.931641
808.593750	-67.007256
814.453125	-48.089867
820.312500	-38.948051
826.171875	-36.952812
832.031250	-41.670044
837.890625	-54.189064
843.750000	-79.081627
849.609375	-117.081024
855.468750	-100.922279
861.328125	-92.715919
867.187500	-82.199348
873.046875	-70.563110
878.906250	-65.986267
884.765625	-68.071266
890.625000	-77.221123
896.484375	-91.219109
902.343750	-97.961403
908.203125	-111.990997
914.062500	-97.093903
919.921875	-63.020535
925.781250	-46.777287
931.640625	-39.374889
937.500000	-38.888462
943.359375	-45.212307
949.218750	-59.900322
955.078125	-89.483971
960.937500	-113.709793
966.796875	-98.773575
972.656250	-91.779045
978.515625	-80.076912
984.375000	-70.064896
990.234375	-67.024239
996.093750	-70.634254
1001.953125	-81.459152
1007.812500	-93.459572
1013.671875	-100.603958
1019.531250	-116.277740
1025.390625	-87.695877
1031.250000	-59.703114
1037.109375	-45.797588
1042.968750	-40.046421
1048.828125	-41.063808
1054.687500	-49.066246
1060.546875	-66.189598
1066.406250	-102.188202
1072.265625	-109.839928
1078.125000	-97.122078
1083.984375	-90.644547
1089.843750	-78.236107
1095.703125	-69.862480
1101.562500	-68.332748
1107.421875	-73.501579
1113.281250	-85.834747
1119.140625	-95.178581
1125.000000	-103.782143
1130.859375	-116.976974
1136.718750	-80.553902
1142.578125	-56.945122
1148.437500	-45.135555
1154.296875	-40.971298
1160.156250	-43.502743
1166.015625	-53.281605
1171.875000	-73.213585
1177.734375	-115.935715
1183.593750	-106.261658
1189.453125	-95.789040
1195.312500	-89.114372
1201.171875	-76.769730
1207.031250	-70.005592
1212.890625	-69.973473
1218.750000	-76.741234
1224.609375	-89.917213
1230.468750	-96.949631
1236.328125	-107.494728
1242.187500	-115.673561
1248.046875	-74.832008
1253.906250	-54.670139
1259.765625	-44.778599
1265.625000	-42.156872
1271.484375	-46.228386
1277.343750	-57.913887
1283.203125	-81.194145
1289.062500	-119.427536
1294.921875	-103.635544
1300.781250	-94.765411
1306.640625	-87.253548
1312.500000	-75.687263
1318.359375	-70.493774
1324.218750	-71.962715
1330.078125	-80.363564
1335.937500	-93.044846
1341.796875	-99.068062
1347.656250	-111.853256
1353.515625	-107.291252
1359.375000	-70.132767
1365.234375	-52.825676
1371.093750	-44.718910
1376.953125	-43.612350
1382.812500	-49.267265
1388.671875	-63.031227
1394.531250	-90.483154
1400.390625	-116.269905
1406.250000	-101.289734
1412.109375	-93.962303
1417.968750	-85.291313
1423.828125	-74.955490
1429.687500	-71.302826
1435.546875	-74.283302
1441.406250	-84.314072
1447.265625	-95.014610
1453.125000	-101.644455
1458.984375	-116.532257
1464.843750	-96.422188
1470.703125	-66.213272
1476.562500	-51.373894
1482.421875	-44.951878
1488.281250	-45.349369
1494.140625	-52.650570
1500.000000	-68.728317
1505.859375	-101.749985
1511.718750	-112.655266
1517.578125	-99.378044
1523.437500	-93.298264
1529.296875	-83.405609
1535.156250	-74.543205
1541.015625	-72.406982
1546.875000	-76.924660
1552.734375	-88.358482
1558.593750	-96.579697
1564.453125	-104.579910
1570.312500	-119.352707
1576.171875	-88.222534
1582.031250	-62.936646
1587.890625	-50.286800
1593.750000	-45.475437
1599.609375	-47.381020
1605.468750	-56.414036
1611.328125	-75.125992
1617.187500	-114.245949
1623.046875	-109.302200
1628.906250	-97.899361
1634.765625	-92.472397
1640.625000	-81.771736
1646.484375	-74.442146
1652.343750	-73.799294
1658.203125	-79.895645
1664.062500	-92.049461
1669.921875	-98.245392
1675.781250	-107.945854
1681.640625	-118.540024
1687.500000	-81.719482
1693.359375	-60.207245
1699.218750	-49.543152
1705.078125	-46.290348
1710.937500	-49.723427
1716.796875	-60.604809
1722.656250	-82.413902
1728.515625	-119.955200
1734.375000	-106.238403
1740.234375	-96.740669
1746.093750	-91.243042
1751.953125	-80.420990
1757.812500	-74.639244
1763.671875	-75.490128
1769.531250	-83.178673
1775.390625	-94.802299
1781.250000	-100.246521
1787.109375	-112.361710
1792.968750	-115.154999
1798.828125	-76.389435
1804.687500	-57.955616
1810.546875	-49.126877
1816.406250	-47.398640
1822.265625	-52.394936
1828.125000	-65.278145
1833.984375	-90.859085
1839.843750	-120.168587
1845.703125	-103.718735
1851.562500	-95.949516
1857.421875	-89.664291
1863.281250	-79.402809
1869.140625	-75.147408
1875.000000	-77.501785
1880.859375	-86.771423
1886.718750	-96.602325
1892.578125	-102.472282
1898.437500	-117.066116
1904.296875	-104.797668
1910.156250	-71.949776
1916.015625	-56.132587
1921.875000	-49.026421
1927.734375	-48.805210
1933.593750	-55.418793
1939.453125	-70.509743
1945.312500	-100.847839
1951.171875	-116.403366
1957.031250	-101.605988
1962.890625	-95.348671
1968.750000	-87.863304
1974.609375	-78.706665
1980.468750	-75.962883
1986.328125	-79.846848
1992.187500	-90.465004
1998.046875	-98.019470
2003.906250	-105.181335
2009.765625	-121.546577
2015.625000	-95.429054
2021.484375	-68.227623
2027.343750	-54.702877
2033.203125	-49.235031
2039.062500	-50.518330
2044.921875	-58.825092
2050.781250	-76.404091
2056.640625	-112.482918
2062.500000	-112.168114
2068.359375	-99.909691
2074.218750	-94.772606
2080.078125	-86.155373
2085.937500	-78.352379
2091.796875	-77.098404
2097.656250	-82.538086
2103.515625	-93.847458
2109.375000	-99.489990
2115.234375	-108.323807
2121.093750	-119.950096
2126.953125	-88.073837
2132.812500	-65.100250
2138.671875	-53.638050
2144.531250	-49.748486
2150.390625	-52.549004
2156.250000	-62.652096
2162.109375	-83.109039
2167.968750	-121.368103
2173.828125	-108.722847
2179.687500	-98.576912
2185.546875	-94.086708
2191.406250	-84.651733
2197.265625	-78.308319
2203.125000	-78.548767
2208.984375	-85.557297
2214.843750	-96.418488
2220.703125	-101.187256
2226.562500	-112.187523
2232.421875	-118.987846
2238.281250	-82.137779
2244.140625	-62.490307
2250.000000	-52.920254
2255.859375	-50.567116
2261.718750	-54.913975
2267.578125	-66.949455
2273.437500	-90.850273
2279.296875	-122.957153
2285.156250	-106.024467
2291.015625	-97.622475
2296.875000	-93.043968
2302.734375	-83.420334
2308.593750	-78.578033
2314.453125	-80.315857
2320.312500	-88.851479
2326.171875	-97.986862
2332.031250	-103.304848
2337.890625	-116.715630
2343.750000	-112.271843
2349.609375	-77.194725
2355.468750	-60.338287
2361.328125	-52.534142
2367.187500	-51.693184
2373.046875	-57.632984
2378.906250	-71.782501
2384.765625	-99.962166
2390.625000	-118.870415
2396.484375	-103.703194
2402.343750	-96.921906
2408.203125	-91.599617
2414.062500	-82.490623
2419.921875	-79.151657
2425.781250	-82.404541
2431.640625	-92.289719
2437.500000	-99.278831
2443.359375	-105.885323
2449.218750	-121.547256
2455.078125	-102.298050
2460.937500	-73.046944
2466.796875	-58.604687
2472.656250	-52.470543
2478.515625	-53.133202
2484.375000	-60.732239
2490.234375	-77.240921
2496.093750	-110.675514
2501.953125	-114.518906
2507.812500	-101.838623
2513.671875	-96.461235
2519.531250	-89.981522
2525.390625	-81.876762
2531.250000	-80.029984
2537.109375	-84.818771
2542.968750	-95.440048
2548.828125	-100.528671
2554.687500	-108.742546
